[2025-05-16 17:54:18] User: b | Event: Event | Description: LOGIN
[2025-05-16 17:54:18] User: b | Event: Event | Description: TokenService
[2025-05-16 17:54:18] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-16 18:00:39] User: a | Event: Event | Description: LOGIN
[2025-05-16 18:00:39] User: a | Event: Event | Description: TokenService
[2025-05-16 18:00:39] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-16 18:00:46] User: b | Event: Event | Description: LOGIN
[2025-05-16 18:00:46] User: b | Event: Event | Description: TokenService
[2025-05-16 18:00:46] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-16 18:03:09] User: a | Event: Event | Description: LOGIN
[2025-05-16 18:03:09] User: a | Event: Event | Description: TokenService
[2025-05-16 18:03:09] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-16 18:03:14] User: b | Event: Event | Description: LOGIN
[2025-05-16 18:03:14] User: b | Event: Event | Description: TokenService
[2025-05-16 18:03:14] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-16 18:05:39] User: a | Event: Event | Description: LOGIN
[2025-05-16 18:05:39] User: a | Event: Event | Description: TokenService
[2025-05-16 18:05:39] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-16 18:05:46] User: b | Event: Event | Description: LOGIN
[2025-05-16 18:05:46] User: b | Event: Event | Description: TokenService
[2025-05-16 18:05:46] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-16 18:08:16] User: a | Event: Event | Description: LOGIN
[2025-05-16 18:08:16] User: a | Event: Event | Description: TokenService
[2025-05-16 18:08:16] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-16 18:08:21] User: b | Event: Event | Description: LOGIN
[2025-05-16 18:08:22] User: b | Event: Event | Description: TokenService
[2025-05-16 18:08:22] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-16 18:19:03] User: a | Event: Event | Description: LOGIN
[2025-05-16 18:19:03] User: a | Event: Event | Description: TokenService
[2025-05-16 18:19:03] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-16 18:19:03] User: b | Event: Event | Description: LOGIN
[2025-05-16 18:19:04] User: b | Event: Event | Description: TokenService
[2025-05-16 18:19:04] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-17 12:40:08] User: a | Event: Event | Description: LOGIN
